Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,attackacrack.com,a1foundationcrackrepair.com,crackx.com,groundworks.com,attackacrack.com (pages),a1foundationcrackrepair.com (pages),crackx.com (pages),groundworks.com (pages),Results
basement crack repair near me,Transactional,3600,7,14.57,0.68,0,21,72,8,,https://www.a1foundationcrackrepair.com/massachusetts,https://crackx.com/new-hampshire/,https://www.groundworks.com/service-areas/foundation-repair-greensboro-nc/,218
basement floor crack repair,Informational,3600,13,5.97,0.20,0,33,25,13,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,6240000
fixing cracks in basement floor,Informational,2400,17,4.20,0.17,0,56,10,19,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,145
basement floor repair,Informational,1900,23,10.83,0.13,0,49,16,23,,https://www.a1foundationcrackrepair.com/,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,0
cracks in basement floor,Informational,1900,12,4.50,0.07,0,33,13,8,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,12000000
basement water seepage repair,Informational,880,14,19.37,0.64,0,76,70,24,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,https://crackx.com/what-causes-water-seepage-in-the-basement-and-how-to-stop-it/,https://www.groundworks.com/resources/9-practical-tips-to-stop-water-leakage-in-your-basement-after-rain/,492000
sealing cracks in basement floor,Informational,720,20,2.21,0.12,0,67,30,21,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,7360000
basement floor crack,Informational,590,16,4.50,0.07,0,53,45,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,20300000
cracks in foundation floor,Informational,590,6,5.21,0.07,0,44,8,16,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,24900000
basement floor cracking,Informational,480,9,4.50,0.07,0,47,87,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,24200000
basement foundation leak repair,Informational,390,18,11.40,0.93,0,45,30,38,,https://www.a1foundationcrackrepair.com/connecticut,https://crackx.com/maine/,https://www.groundworks.com/contact-us/,4790000
fieldstone foundation,"Informational, Transactional",390,12,2.57,0.06,0,26,57,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking-stone-foundations-fieldstone-foundation-waterproofing,https://crackx.com/fieldstone-foundation-repair-restoration/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,1080000
sandstone foundation repair,Informational,390,12,6.95,0.14,0,31,52,5,,https://www.a1foundationcrackrepair.com/stone-foundation,https://crackx.com/fieldstone-foundation-repair-restoration/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,195
basement floor cracks,Informational,320,9,4.50,0.07,0,26,93,7,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,9520000
bulkhead repair near me,Transactional,320,11,7.82,0.78,0,9,2,4,,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,https://crackx.com/bulkhead-waterproofing/,https://www.groundworks.com/solutions/residential-seawall-and-bulkhead-repair/,3630000
crack in basement floor,Informational,320,7,4.50,0.07,0,47,24,4,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,14700000
foundation crack repair company,Commercial,320,21,18.91,0.31,0,9,11,16,,https://www.a1foundationcrackrepair.com/about,https://crackx.com/natick-massachusetts/,https://www.groundworks.com/,12200000
basement concrete crack,Informational,260,20,6.94,0.04,0,55,69,2,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,8330000
crack in foundation floor,Informational,260,4,5.21,0.07,0,31,7,12,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,39900000
fieldstone foundation repair cost,Informational,260,8,6.27,0.66,0,10,15,9,,https://www.a1foundationcrackrepair.com/stone-foundation,https://crackx.com/fieldstone-foundation-repair-special-merrimack-valley/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,207000
how to seal cracks in basement floor,Informational,260,11,1.21,0.12,0,53,51,21,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/resources/basement-floor-crack-tips-northeast-new-england/,5150000
bulkhead replacement near me,Transactional,210,18,4.77,0.77,0,20,50,21,,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,https://crackx.com/bulkhead-door-installation-of-maine/,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,4290000
concrete repair and waterproofing,Transactional,210,11,2.25,0.76,0,27,36,29,,https://www.a1foundationcrackrepair.com/,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,https://www.groundworks.com/service-areas/pennsylvania/philadelphia-pa/,20900000
crack in concrete basement floor,Informational,210,11,3.71,0.09,0,37,91,10,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,6330000
fix basement,Commercial,210,25,13.87,0.74,0,88,56,55,,https://www.a1foundationcrackrepair.com/connecticut,https://crackx.com/maine/,https://www.groundworks.com/resources/preventing-repairing-basement-leaks/,86600000
fix crack in basement floor,Informational,210,23,4.20,0.17,0,44,9,19,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,7250000
floor foundation repair,Informational,210,22,17.26,0.95,0,50,88,13,,https://www.a1foundationcrackrepair.com/,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,112000000
how to fix cracks in basement floor,Informational,210,19,1.63,0.16,0,91,14,21,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,9080000
are cracks in basement floor normal,Informational,170,18,3.56,0.02,0,49,51,29,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,6630000
cracked basement floor,Informational,170,4,4.50,0.07,0,31,83,11,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,28600000
cracks in concrete basement floor,Informational,170,9,3.71,0.09,0,57,19,16,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,8890000
fix basement floor,Informational,170,22,11.00,0.13,0,46,37,22,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,27300000
fixing cracks in concrete basement floor,Informational,170,21,3.06,0.06,0,30,26,29,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,10300000
foundation floor cracks,Informational,170,1,5.21,0.07,0,37,7,13,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,21000000
hairline crack in basement wall,Informational,170,10,5.86,0.56,0,34,54,20,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/a-step-by-step-guide-to-repairing-hairline-cracks-in-foundation-wall/,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,768000
leak in foundation wall,Informational,170,4,8.39,0.38,0,62,65,11,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-find-a-basement-leak-behind-a-finished-wall-ma-ri-nh-ct,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,51800000
non structural foundation cracks,Informational,170,9,7.18,0.49,0,65,13,9,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/should-i-worry-about-my-non-structural-basement-floor-cracks,https://crackx.com/identifying-structural-cracks/,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,12000000
normal cracks in basement floor,Informational,170,10,3.32,0.33,0,32,70,22,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/causes-of-floor-cracks/,https://www.groundworks.com/resources/basement-floor-crack-tips-northeast-new-england/,7500000
seal basement floor cracks,Informational,170,19,2.21,0.12,0,54,45,15,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/repair-basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,197
small cracks in basement floor,Informational,170,16,3.33,0.02,0,79,67,6,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,11500000
what is a heaving crack in basement floor,Informational,170,7,3.69,0.01,0,73,19,10,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/foundation-heave/,299000
when to worry about cracks in basement floor,Informational,170,10,4.19,0.02,0,15,62,13,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/basement-floor-cracks-dangerous-or-not-boston,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,14200000
basement wall crack repair cost,Informational,140,1,8.25,0.55,0,78,56,25,,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,https://crackx.com/maine/,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,5250000
crack on basement floor,Informational,140,6,4.50,0.07,0,52,39,15,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,20200000
cracks in basement floor when to worry,Informational,140,4,2.65,0.05,0,6,16,10,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/should-i-worry-about-my-non-structural-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,12000000
fixing basement floor cracks,Informational,140,21,4.20,0.17,0,33,15,13,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/resources/basement-floor-crack-tips-northeast-new-england/,8430000
foundation repair boston ma,Commercial,140,0,13.02,0.33,0,66,55,2,,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,https://crackx.com/natick-massachusetts/,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,150
foundation repair ma,Commercial,140,41,0.00,0.15,0,2,5,12,,https://www.a1foundationcrackrepair.com/,https://crackx.com/natick-massachusetts/,https://www.groundworks.com/service-areas/foundation-repair-worcester-ma/,81700000
repair basement wall cracks,Informational,140,15,8.42,0.77,0,54,24,31,,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,5830000
basement concrete floor cracks,Informational,110,21,3.71,0.09,0,56,34,15,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,6990000
boston foundation repair,Informational,110,16,13.02,0.33,0,52,56,15,,https://www.a1foundationcrackrepair.com/,https://crackx.com/natick-massachusetts/,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,14600000
crack in basement floor repair,Informational,110,24,4.20,0.17,0,62,12,27,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/best-methods-for-repairing-cracked-basement-floors-in-new-england-homes/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,7310000
cracks cement basement floor,Informational,110,24,4.82,0.07,0,51,15,14,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,1420000
cracks in basement concrete floor,Informational,110,9,4.19,0.12,0,27,28,12,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,6880000
cracks in basement floors,Informational,110,10,4.50,0.07,0,48,53,22,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,9970000
cracks in concrete floors,Informational,110,24,3.48,0.45,0,84,17,42,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/5-reasons-why-your-concrete-floor-is-cracking/,https://www.groundworks.com/resources/how-to-repair-cracks-in-concrete/,23600000
cracks on basement floor,Informational,110,2,4.50,0.07,0,44,20,11,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,12200000
foundation crack repair old westbury,Commercial,110,3,0.00,0.00,0,17,52,31,,https://www.a1foundationcrackrepair.com/,https://crackx.com/new-hampshire/,https://www.groundworks.com/service-areas/foundation-repair-woodbury-nj/,44800
foundation cracks floor,Informational,110,7,0.00,0.01,0,40,33,12,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/resources/are-foundation-cracks-normal/,14800000
horizontal crack,Informational,110,10,4.05,0.15,0,44,49,1,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/what-are-those-horizontal-cracks-in-my-basement-floor,https://crackx.com/horizontal-cracks/,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,166000000
how to fix a crack in basement floor,Informational,110,23,1.63,0.16,0,42,46,20,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/foundation-floor-crack-repair/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,44300000
repairing a stone foundation,Informational,110,12,6.95,0.14,0,43,68,6,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/when-do-you-need-to-repoint-a-stone-foundation-boston-ma,https://crackx.com/fieldstone-foundation-repair-special-merrimack-valley/,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,36800000
residential foundation crack repair,Informational,110,11,0.00,0.33,0,26,30,23,,https://www.a1foundationcrackrepair.com/residential-services,https://crackx.com/connecticut/,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,5490000
bulkhead on a house,Informational,90,9,0.43,0.02,0,70,25,22,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,https://crackx.com/bulkhead-test2/,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,8550000
crack basement floor,Informational,90,6,4.84,0.09,0,63,22,14,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/basement-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,220
crack in floor,Informational,90,27,7.85,0.05,0,45,16,23,,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,https://crackx.com/5-reasons-why-your-concrete-floor-is-cracking/,https://www.groundworks.com/solutions/foundation-repair/floor-crack-repair/,176000000
crack leak basement,Informational,90,8,0.00,0.00,0,49,74,5,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-find-a-basement-leak-behind-a-finished-wall-ma-ri-nh-ct,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,https://www.groundworks.com/solutions/basement-waterproofing/basement-wall-cracks/,2060000
cracks in the basement floor,Informational,90,10,4.50,0.07,0,44,18,10,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,https://crackx.com/causes-of-floor-cracks/,https://www.groundworks.com/solutions/foundation-repair/basement-floor-crack/,11100000
fieldstone foundation waterproofing,Informational,90,1,2.62,0.44,0,10,58,2,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking-stone-foundations-fieldstone-foundation-waterproofing,https://crackx.com/fieldstone-foundation-repair-restoration/,https://www.groundworks.com/resources/fieldstone-foundation-waterproofing/,63100
fixing crack in foundation from outside,Informational,90,8,8.01,0.93,0,38,50,45,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/foundation-crack-repairs-fix-from-the-inside-or-the-outside-boston-ma,https://crackx.com/connecticut/,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,8660000
foundation crack repair sea cliff,Commercial,90,3,0.00,0.00,0,18,39,62,,https://www.a1foundationcrackrepair.com/connecticut,https://crackx.com/connecticut/,https://www.groundworks.com/service-areas/foundation-repair-red-bluff-ca/,1650000
how to fix leaky basement,Informational,90,8,4.13,0.62,0,63,93,27,,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,https://www.groundworks.com/resources/how-to-stop-basement-wall-leaks-in-their-tracks/,4130000
